Sentence,Category (Binary)
"Niti Aayog CEO Amitabh Kant said the government was pushing for electric motilities with FAME and FAME 2 schemes, bringing down the rate of taxes on electric vehicles at 5%, as compared to 28% for other vehicles and 43% for hybrid vehicles.",0-Pure
"“We also give tax exemption, up to Rs 1 lakh, to people who are buying electric vehicles. As a consequence of all this, the focus on electrification will be huge and if India has to emerge as a leader in clean, connected and shared mobility, there are two important things to keep in mind — one is that India is a major user of two- and three-wheelers and 80% of people travel in these vehicles. Second, battery will be an important component. Battery manufacturing and storage will be a key component and storage will have to be linked to renewable energy integration with the grid,” he said in an interactive session for students of the first batch of MS (Research) in e-mobility programme, organised by IIT-Guwahati on Saturday.",0-Pure
Kant congratulated the IIT-Guwahati fraternity for starting the unique course on e-mobility at the premier technology institute.,0-Pure
"“This is a path-breaking initiative because India is in the middle of a mist of technological disruption and revolution. This disruption will lead to a huge and massive shift from combustion vehicles to electric vehicles and we are heading towards a shared and connected zero-emission world,” he said.",0-Pure
"Anil Srivastava, mission director of Niti Aayog, said it was looking forward to making more energy-efficient and less-costing batteries.",0-Pure
"
Speaking during the session, Prof TG Sitharam, director of IIT-Guwahati, said, “From this year, we have introduced a policy such that every academic department should have at least three successful industry advisors who are successful in research and development in industry, so that the curriculum can be inclusive of industry relevant problems over a period of time. If we look at the government’s policy, India wants to achieve 30 percent of e-mobility by 2030”.",0-Pure
"Prof. Praveen Kumar, coordinator of the MS(R) programme also spoke at the programme.
",0-Pure
"At hospitals or on the field, medicos and paramedics dealing with Covid-19 patients and their families continue to brave the risk of assault or misbehaviour.",0-Pure
"Though many such incidents have reached police stations, most have been settled on the intervention of superiors in health department as well elders in villages, according to sources.",0-Pure
"
Most recently, on September 2, residents of a village in Fatehabad district damaged the kits of health workers and assaulted them.",0-Pure
 A health department team had gone to collect samples of the family members as well as contacts of locals who died of Covid-19. ,0-Pure
Another such incident happened in Hisar this month when a DSP-level officer allegedly threatened the health team which had gone to paste a poster outside his residence in Hisar. ,0-Pure
 A video of the DSP’s mobile phone conversation with the health team and his wife’s argument with the health team had gone viral . ,0-Pure
"Haryana health minister Anil Vij, who holds the charge of home department, has maintained that health teams had been provided adequate security.",0-Pure
" “The e-vehicles are not required to give much tax. India is a great user of two and three-wheelers and e-vehicles will make a great opportunity in it,” said Srivastava.",0-Pure
"He said that industry expert lectures, from India, European Union (EU), and Japan, on topics related to e-mobility such as vehicle design philosophy, light-weighting, new battery chemistries, are planned.",0-Pure
Police had registered a case against the accused .,0-Pure
Acton is still pending in the incident.,0-Pure
As many as 650 teachers will be recruited in government-run schools in the next 10 days.,0-Pure
"This was decided at a meeting of the Gujarat State School Management Association, state education minister Bhupendrasinh Chudasama and senior government officials. ",0-Pure
"“The fifth round of recruitment of teachers will soon be held. Among other decisions, the filling for 1,664 vacant post for principals in various schools was discussed today,” said government sources.",0-Pure
 It was also proposed at the meeting that some schools that are planning for reduction in classroom numbers should refrain from it.,0-Pure
"It was also proposed that in case of rural areas, the classroom strength be 18 students while in the case of urban it be 25",0-Pure
"At the meeting it was also decided to approve contingency plan for 11 months to schools that do not have office peons, said sources.",0-Pure
"On the issue of the result-based grants for Class 10 and 12 boards, the education minister and secretary admitted schools do not have teachers in important subjects and that it is natural for children to fail in such subjects and that it is not appropriate for the school board to cut maintenance grants due to poor results.",1-Septic
"In a tragic incident, three children died of food poisoning after they ate locally purchased biscuits at a remote village in Allagadda mandal in Kurnool district.",0-Pure
"According to Allagadda rural SI Prasad, the children (all from the same family) had bought the biscuits from a petty shop in Chintakomma Dinne village on Sunday evening.",0-Pure
"Soon after consuming the biscuits with their tea, the children started vomiting and collapsed.",0-Pure
The children were immediately rushed to a local hospital where six-year-old Hussain Basha succumbed the same night.,0-Pure
The other two children were rushed to the government general hospital in Kurnool but both of them died while undergoing treatment. ,0-Pure
The children’s parents have called for strict action against the shopkeeper and manufacturer of the biscuits.,0-Pure
The district administration has ordered a probe and is waiting for the reports to initiate further action.,0-Pure
"The Gujarat high court on Wednesday expressed its dejection with the public and politicians who flout Covid-19 rules and do not cooperate with the authorities, who are putting in hard work to curb the spread of Covid-19.",0-Pure
"While the HC requested people with “folded hands” to follow Covid rules, it also pulled up political leaders for flouting rules openly and asked them not to set a bad example for common people.",1-Septic
"In an order passed in the suo motu PIL on Covid-19 and the lockdown, the bench of Chief Justice Vikram Nath and Justice J B Pardiwala praised the government for its efforts to control the disease, especially in Surat, and expressed hope that it would continue to work hard on this front.",0-Pure
"However, the judges expressed pain at seeing people not cooperating and not heeding Covid rules, even though they are constantly reminded of the same.",1-Septic
"They said that the HC has done whatever it can, and it can only request people to behave properly. ",0-Pure
" “We are now left with only one thing to do and that is to request the people at large with folded hands to cooperate with the authorities and follow the norms and protocols prescribed and, more particularly, take care of themselves individually,” the court said.",0-Pure
"It further observed, “If each individual takes upon himself the responsibility of protecting his life, such endeavour will surely bring around very good results, and within a short time, we may be able to overcome the Covid 19 pandemic.” ",0-Pure
"The HC said that in Ahmedabad, it is routinely observed that hundreds of young men and women gather on public streets and at the most happening places in evening and they are not bothered about social distancing at all.",0-Pure
Most of them are seen without wearing masks. There must be a similar situation in other cities too. ,0-Pure
" If people do not obey behavioural guidelines, it is difficult to beat Covid-19. ",0-Pure
Its high time to behave properly and curb Covid spread instead of keep chasing the virus.,0-Pure
The HC also said that youths from the educated class of society are seen in Ahmedabad violating Covid rules.,0-Pure
"“If this continues, we will never be able to overcome the pandemic. It is high time we start doing something progressive rather than keep chasing Covid-19 all the time. Life is too short to do all this. Therefore, the norms and protocols, as prescribed by the state government, time to time, need to be scrupulously followed, and this applies even to the political leaders of the state, senior and junior.”",0-Pure
"‘Politicians should not flout norms, but lead by example’",0-Pure
"The high court took notice of political rallies and gatherings, as pointed out to it during the last hearing on September 4, and it said that rules are applied to people as well as politicians alike.",0-Pure
" It said, “The political leaders of the state are expected to lead their masses and not by themselves flouting the norms or the rules and regulations prescribed to combat the pandemic. The flouting of the norms at the end of the political leaders would set a bad example for the people at large, and the same may prompt the people to defy the norms.”",0-Pure
" On Thursday, when PM Narendra Modi celebrated his 70th birthday, water levels in the Sardar Sarovar dam at Kevadia Colony in Narmada district reached its peak capacity of 138.68 metres. ",0-Pure
This is the second time in a year that the dam is brimming to its full capacity.,0-Pure
PM Modi too tweeted the video of the overflowing dam and recalled his visit to the spot last year.,0-Pure
"Gujarat chief minister, Vijay Rupani performed e-puja from his residence and said, “Water scarcity and droughts are now a thing of past for the state. A dream to make the state water reliant has now come true.”",0-Pure
He even tweeted the dam’s photos on Thursday morning.,0-Pure
"Minister for state for Narmada development, Yogesh Patel and SSNNL managing director Rajiv Gupta performed puja at the dam site. ",0-Pure
The dam’s height was increased from 121.92 meters to 138.68 meters in 2017 after a nod from the Supreme Court.,0-Pure
The continuous inflow of water from upstream helped the SSNNL authorities in storing the water in a planned manner and ensure it reaches the peak. ,0-Pure
"The dam is getting an inflow of 71,000 cusecs (cubic foot per second) out of which 51,000 cusecs of water is being discharged downstream of the river.",0-Pure
Three units of canal head power house have been made operational.,0-Pure
"Water storage in the dam is around 5,760 million cubic meters and it can fulfil the state’s water requirement for nearly two years. ",0-Pure
"Around 9,000 villages and 165 nagarpalikas and corporations of the state will benefit from the waters. ",0-Pure
"Prime Minister Narendra Modi had dedicated the dam to the nation on September 17, 2017.",0-Pure
A 23-year-old unemployed civil engineer and his 25-year-old friend were caught by police for allegedly selling charas (hash) from a shop. ,0-Pure
The accused recently took the shop on rent to carry out the illegal activity.,0-Pure
"The police nabbed Jigar Dholakia and his friend Parth Tejani, both residents of Katargam for allegedly selling charas.",0-Pure
The police booked the accused under the Narcotic Drugs and Psychotropic Substances (NDPS) Act. ,0-Pure
The investigation has been handed over to Lalgate police station since the raiding team cannot investigate the NDPS cases as per the latest guidelines. ,0-Pure
"Following specific information, the police raided the shop in Vimalnath Arcade in Katargam on Thursday morning.",0-Pure
" During the checking, the police found 2.379 kilogram charas worth Rs 2.37 lakh. ",0-Pure
"“The accused had contacted some of their known persons to sell charas. We suspect that they had brought a total of 2.500 kg charas of which some quantity has already been sold. We are investigating to find out as to whom they had sold the contraband,” said an official from Katargam police station. ",0-Pure
The accused had gone to Himachal by bus to buy charas.,0-Pure
Dholakia told the police that he had completed civil engineering a year ago and he had been unemployed since then.,0-Pure
Parth had studied upto class XII and he had also been jobless since the lockdown. Both had planned to sell charas to make fast bucks. ,0-Pure
"“Both had no work, and to make easy money they planned to sell charas. They came to know from friends that it was easy to find charas in Himachal, and hence they went there,” added the official. ",0-Pure
"After month-long social media campaign by Rander people, the Surat Municipal Corporation (SMC) finally woke up to address the woes of the residents.",1-Septic
" It has taken up repairs of the area’s badly damaged main roads, especially patching up the crater-sized potholes on a war footing.",1-Septic
"According to the residents, rains damaged about 80% of the internal roads in Rander town, which the SMC conveniently ignored till protests turned into a din with pasting posters across the town ridiculing the civic body with slogans like: ‘Welcome to the potholed Rander town, please get insurance of your bones’! ",0-Pure
"The residents along with social groups also ran a campaign on social media, highlighting the plight of the commuters daily on the dilapidated monsoon-hit roads.",0-Pure
"President of Rander development charitable trust, Sohail Shaikh told TOI, “It seems contractors were wary of repairing roads in Rander which is still a Covid-19 hotspot. With more than 80% of the roads here damaged, residents were subject to torturous travel over potholes while commuting, especially on two wheelers.” ",0-Pure
"Shaikh further said that SMC started repairing the roads for the past two days, with about 100 metres of roads being repaired daily.",0-Pure
" “My entire team of 15 volunteers is accompanying the contractor in repairing the roads,” he added.",0-Pure
"Abbas Hans, a social worker in Rander town told TOI that even emergency vehicles including ambulance could not enter into a few localities owing to bad roads.",0-Pure
"“We had to shift patients in private cars, while the ambulance would wait on the main road,” he said. ",0-Pure
"A senior officer of SMC’s road construction department said, “Road repair work is going on in full swing across the city. First, we started patchwork of main roads and then shifted focus to residential streets.”",0-Pure
The finger of suspicion of large-scale piracy of textbooks published by the National Council of Educational Research and Training (NCERT) now points at its officials. ,1-Septic
"Documents, internal inquiry reports of the NCERT submitted to the ministry of education (MoE), transcripts of phone conversation, and messages (copies of which are with the TOI) reveal that the council sat on a whistleblower’s alert for five days.",1-Septic
It initiated action only after the intervention of secretary of MoE (then called HRD ministry).,0-Pure
NCERT insiders say that the recent seizure of pirated textbooks in Meerut and Amroha are just the tip of the iceberg and need independent investigation on involvement of council’s officials.,0-Pure
"On December 20, 2018 the whistle-blower passed on a tip to Ashutosh Mishra, vigilance and security officer (VSO), that a large number of pirated books were stored at one of the empanelled printing presses in Greater Noida.",0-Pure
"The same message was also sent to Hrushikesh Senapaty, director, NCERT, and Rina Ray, the then school education secretary. ",0-Pure
It is claimed that the official also happened to make a visit to the empanelled press for a different matter the very next day. ,0-Pure
He saw the books and immediately informed the VSO of the exact location of the pirated textbooks.,0-Pure
"As revealed by the documents, neither the VSO nor the director NCERT initiated any action for five days, until Ray intervened on December 24, 2018. ",0-Pure
"The raid was conducted the next day, and nothing was found.",0-Pure
"A report on this raid, prepared by the VSO, was forwarded by the director to Ray on December 27, 2018, wherein it claimed that after receiving the tip-off “immediate action” was taken, where in actual fact action was delayed by five days.",1-Septic
A set of questions were emailed to the director and secretary of NCERT. ,0-Pure
"“The official did not wait for authority response in the matter and himself made a visit to above printers in the morning hours… The proprietor of firm lodged a complaint against the official and informed about his unauthorised visit. The owner did not allow the official to inspect the press,” and “When not allowed by firm owner, the official contacted VSO telephonically around 1015 AM…. The VSO told him that by making such visit without having any approval of competent authority, you have alerted the firm owner and there is possibility that unauthorised books as claimed might have been shifted from the premises.”",0-Pure
"However, the transcript of the telephonic conversation revealed there was no discussion on unauthorised visit and the proprietor emailed to NCERT on December 26 alleging the “unauthorised” visit after the surprise check was conducted by the VSO-led team.",0-Pure
"In fact, as per the conversation, the whistleblower on December 21 told the VSO that any delay will lead to an unsuccessful raid.",0-Pure
"
A retired NCERT official on condition of anonymity said that “this nation-wide industry of piracy of the NCERT textbooks cannot flourish without the active connivance of NCERT officials... It starts with creating artificial shortage, following which demand for pirated textbooks and textbooks of private publishers shoots up. Even half the total requirement is never printed by the time the academic session begins. The printing continues even well beyond December. It is no surprise that NCERT meticulously stonewalls its real-time data related to the status of printing of textbooks. And any action against the piracy is mere eyewash. Generally, before any raid is actually conducted based on any complaint, the erring printers are alerted by these officials.”",0-Pure
"
He added that “Prakash Javadekar, the then HRD minister, raised serious concern over this issue of piracy in a meeting.He added that “Prakash Javadekar, the then HRD minister, raised serious concern over this issue of piracy in a meeting. Then under the pressure of the MHRD, NCERT had to start on-line delivery of textbooks through India Post.”",0-Pure
"The coast on Saturday received moderate to heavy rain over Udupi, Dakshina Kannada and Uttara Kannada districts under the influence of the cyclonic circulation over Telangana.",0-Pure
One life was lost and another person is in a critical condition in two separate rain related accidents.,0-Pure
The IMD declared a red alert for the coast till Monday.,0-Pure
"Though there was continuous rain in the city since Friday night, no areas were inundated like last week.",0-Pure
The compound wall of a school at Kulur collapsed on a man on Saturday.,0-Pure
"The deceased Umesh, 38, is a daily wage earner, and was a resident of Neermarga. ",0-Pure
"The victim, who was working near the school compound along with two others, was buried under the debris, when the wall collapsed on him.",0-Pure
Police suspect the wall had weakened due to the rain.,0-Pure
"In another incident, a woman sustained grievous injuries after the compound wall of a house collapsed on her at Naygara Lane, Bikarnakatte.",0-Pure
"The victim is Chandrakala Shetty, and she is in a critical condition. ",0-Pure
Two locations in Dakshina Kannada recorded the highest rain in the state in the last 24 hours: Surathkal got 109.5 mm rain and Kemral got 105.5 mm of rain.,0-Pure
"KSNMDC warned fishermen not to venture into the sea, warning of gales with speeds reaching 45-55 kmph, which were likely to prevail along and off the Karnataka coast for the next two days.",0-Pure
"In the last 24 hours till 8.30am on Saturday, Dakshina Kannada received an average of 42 mm rain, with Mangaluru and Bantwal taluks receiving the highest at 71mm and 48mm, respectively. ",0-Pure
"There was no thunder, lightning or gales, despite the heavy rain.",0-Pure
The district recorded 7 deaths for the second consecutive day.,0-Pure
112 persons tested positive for coronavirus and 56 were discharged after recovery.,0-Pure
"The deceased included four men from Wardha (65, 50, 49 and 70 years of age respectively), a 65-year-old man from Pulgaon, a 54-year-old women from Hinganghat and 70-year-old man from Karanja.",0-Pure
 The Covid death toll reached 61.,0-Pure
"The positive cases were recorded from Wardha (53), Hinganghat (27), Deoli (21), Ashti (4), Arvi (3) and two cases each from Selu and Samudrapur.",0-Pure
"Out of the 630 test reports, 84 men and 28 women tested positive, taking the total count of positive cases in district to 2,741. ",0-Pure
"The district now has 1,313 active patients, and 1,367 recoveries.",0-Pure
"Andhra Pradesh reported 8,835 fresh Covid-19 cases on Wednesday, taking its cumulative caseload to 5,92,760.",0-Pure
"The toll jumped to 5,105 with 64 more deaths. As many as 10,845 patients were declared cured.",0-Pure
"There are currently 90,279 active cases with 4,97,376 cumulative recoveries, translating to a recovery rate of 84%.",0-Pure
"The outbreak continues to be severe in East Godavari as the district surged past the 81,000-case mark with 1,421 fresh cases in the last 24 hours. ",0-Pure
"With no let-up in the virus wave, EG remains a big challenge for state health officials for the last three months.",0-Pure
"On the other hand, some districts like Krishna, Kurnool and Guntur have been witnessing a clear turnaround in daily infections for the last one month.

",0-Pure
"Visakhapatnam reported 325 fresh cases, the lowest case count in the last 50 days. 
",0-Pure
"Other than Prakasam and Srikakulam, the recovery is over 85% in all the remaining districts.
",0-Pure
"
Of the 64 deaths, nine are from Chittoor, seven from Nellore, six each from Guntur and Prakasam, five each from Anantapur, Kadapa, Krishna, Srikakulam and West Godavari, four from Kurnool, three from East Godavari, and two each from Visakhapatnam and Vizianagaram.",0-Pure
